id,division,sub,BU,SSno,name,SSkv,owned,EHVname,switching,lat,lng,capacity,solarcap,plant,ptrans,feeder,outfeeder,infeeder,infeederss,img
1,SANGLI URBAN DIVISION,SANGLIWADI WEST ZONE,4067,244073,33/11 KV SHERINALA,33/11 KV,Y,,N,16.863828,74.559015,5,0,,,6,5,1,1,/assets/ss.png
2,SANGLI URBAN DIVISION,"SOUTH ZONE,SANGLI",4069,244039,33/11 KV NEW SANGLI CITY,33/11 KV,Y,,N,16.84653,74.57298,10,,,,10,8,2,2,/assets/ss.png
3,SANGLI URBAN DIVISION,"SOUTH ZONE,SANGLI",4069,244092,33 / 11 KV KOLHAPUR ROAD,33/11 KV,Y,,N,16.8404267,74.5644667,5,,,,6,5,1,1,/assets/ss.png
4,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244030,33/11 KV KUPWAD MIDC,33/11 KV,Y,,N,16.8769579,74.632345,20,,,,14,14,0,3,/assets/ss.png
5,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244066,33/11 KV SIE,33/11 KV,Y,,N,16.8760189,74.5874647,10,,,,8,8,0,1,/assets/ss.png
6,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244019,33/11 KV MADHAVNAGAR,33/11 KV,Y,,N,16.8879978,74.5914153,15,,,,11,10,1,3,/assets/ss.png
7,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244043,33/11 KV CHAKAN,33/11 KV,Y,,N,16.8812117,74.6262133,15,,,,10,9,1,1,/assets/ss.png
8,SANGLI URBAN DIVISION,MADHAVNAGAR,1236,244095,33/11 KV KUPWAD CITY,33/11 KV,Y,,N,16.855974,74.613033,20,,,,8,8,0,3,/assets/ss.png
9,SANGLI URBAN DIVISION,VISHRAMBAG NORTH ZN.,4066,244094,33\11 KV VIJAYANAGAR,33/11 KV,Y,,N,16.840539,74.608285,10,,,,9,8,1,1,/assets/ss.png
10,SANGLI URBAN DIVISION,VISHRAMBAG NORTH ZN.,4066,244119,33/11 VISHRAMBAG STORES,33/11 KV,Y,,N,16.842914,74.598747,10,,,,6,6,0,3,/assets/ss.png
11,SANGLI URBAN DIVISION,"CENTRAL ZONE,SANGLI",4068,244080,33/11KV RISALA ROAD,33/11 KV,Y,,N,16.8567728,74.5669995,15,,,,6,6,0,1,/assets/ss.png
12,SANGLI URBAN DIVISION,"CENTRAL ZONE,SANGLI",4068,244122,33/11 KV BALAJI MANDIR,33/11 KV,Y,,N,16.8614835,74.5844691,5,-,,,5,5,0,1,/assets/ss.png
13,SANGLI URBAN DIVISION,MIRAJ urban,1228,244070,33/11 KV KRIPAMAI,33/11 KV,Y,,N,16.8374541,74.6293781,15,,,,7,7,0,1,/assets/ss.png
14,SANGLI URBAN DIVISION,MIRAJ urban,1228,244008,33/11 KV MIRAJ,33/11 KV,Y,,N,16.845065,74.6467953,15,,,,10,9,1,2,/assets/ss.png
15,SANGLI URBAN DIVISION,MIRAJ urban,1228,244118,33/11 KV SHANIVAR PETH MIRAJ,33/11 KV,Y,,N,16.826564,74.648551,10,,,,6,6,0,1,/assets/ss.png
16,SANGLI URBAN DIVISION,MIRAJ urban,1228,244085,33/11KV MIDC MIRAJ,33/11 KV,Y,,N,16.8530577,74.6384341,20,,,,10,10,0,1,/assets/ss.png
17,SANGLI URBAN DIVISION,MIRAJ urban,1228,248004,220 KV MIRAJ,220/33 KV,N,Karad,N,16.8475892,74.6384557,100,,,,11,3,7,0,/assets/ss.png
18,SANGLI RURAL DIVISION,TASGAON (II),1279,246005,110/33/11 KV TASGAON,33/11 KV,N,Karad,N,17.0226521,74.6026248,66,,,,12,7,4,0,/assets/ss.png
19,SANGLI RURAL DIVISION,TASGAON (II),1279,244013,33/11 KV ANKALHKOP,33/11 KV,Y,,N,17.0132539,74.4501034,10,0,,,11,11,0,1,/assets/ss.png
20,SANGLI RURAL DIVISION,TASGAON (II),1279,244026,33/11 KV BURUNGAWADI,33/11 KV,Y,,N,17.015469,74.5119108,15,0,,,8,8,0,1,/assets/ss.png
21,SANGLI RURAL DIVISION,TASGAON (II),1279,244086,33 / 11 KV TASGAON,33/11 KV,Y,,N,17.0239313,74.6020519,10,,,,7,6,1,2,/assets/ss.png
22,SANGLI RURAL DIVISION,TASGAON (II),1279,244063,33/11KV KHATAV,33/11 KV,Y,,N,16.9659189,74.5279101,10,,,,5,5,0,1,/assets/ss.png
23,SANGLI RURAL DIVISION,TASGAON (II),1279,244087,33/11 KV TURACHI,33/11 KV,Y,,N,17.0558051,74.5419523,10,,,,5,5,0,1,/assets/ss.png
24,SANGLI RURAL DIVISION,TASGAON (II),1279,244091,33/11 KV BHILWADI  ( MALWADI ),33/11 KV,Y,,N,16.9775701,74.4898791,10,,,,3,3,0,1,/assets/ss.png
25,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244011,33/11 KV KASABE DIGRAJ,33/11 KV,Y,,N,16.9087061,74.5055869,8,,,1,13,10,3,2,/assets/ss.png
26,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244032,33/11 KV BRAMHNAL,33/11 KV,Y,,N,16.9305675,74.5057511,10,0,,1,11,7,4,2,/assets/ss.png
27,SANGLI RURAL DIVISION,VISHRAMBAG,1252,246001,110/33/11 KV VISHRAMBAG S/SN,132/33 KV,N,Karad,N,16.8431483,74.5971248,112.5,,,,14,8,5,0,/assets/ss.png
28,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244065,33/11 KV KAVATHE PIRAN,33/11 KV,Y,,N,16.8822609,74.4742138,10,,,1,12,8,4,2,/assets/ss.png
29,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244068,33/11 KV BUDHGAON,33/11 KV,Y,,N,16.9063736,74.5896941,10,,,1,13,8,5,2,/assets/ss.png
30,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244037,33/11 KV PRAKASH AGRO,33/11 KV,Y,,N,16.8799856,74.5345923,3.15,,,,4,2,2,1,/assets/ss.png
31,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244088,33/11 KV DUDHGAON S/STN,33/11 KV,Y,,N,16.879861,74.4338307,5,,,,8,5,3,2,/assets/ss.png
32,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244090,33/11KV NANDRE S/STN,33/11 KV,Y,,N,16.9591866,74.5641844,5,,,,6,3,3,1,/assets/ss.png
33,SANGLI RURAL DIVISION,VISHRAMBAG,1252,244126,33/11 KV KAVALAPUR,33/11 KV,Y,,N,16.9141982,74.6119753,5,,,,6,3,3,2,/assets/ss.png
34,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244001,33/11 KV MHAISHAL,33/11 kV,Y,,N,16.7439018,74.7098223,10,,,2,13,7,5,2,/assets/ss.png
35,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244038,33/11 KV KRISHNA GHAT,33/11 kV,Y,,N,16.7998461,74.6393012,10,0,,,11,6,5,2,/assets/ss.png
36,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244134,33/11KV SIDHEWADI,33/11 kV,Y,,N,16.8935902,74.6994693,5,,,,8,3,5,0,/assets/ss.png
37,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244142,33/11KV KHANDERAJURI,33/11 kV,Y,,N,16.8971,74.7824167,5,0,,,6,3,3,0,/assets/ss.png
38,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244093,33/11 KV SAVALI KANADWADI,33/11 KV,Y,,N,16.8876533,74.6477154,10,0,,,15,9,6,0,/assets/ss.png
39,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244059,33/11 KV SONI,33/11 KV,Y,,N,16.9531434,74.6848374,10,0,,,12,6,6,1,/assets/ss.png
40,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244107,33/11KV MALGAON,33/11 KV,Y,,N,16.8652567,74.7107137,5,0,,,7,3,3,1,/assets/ss.png
41,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,248019,220KV NARWAD SUBSTATION,220/33 KV,N,Karad,N,16.7480994,74.7543649,50,,,,3,1,2,0,/assets/ss.png
42,SANGLI RURAL DIVISION,MIRAJ RURAL,1244,244137,33/11KV NARWAD,33/11 KV,Y,,N,16.7481038,74.7544612,5,0,,,6,3,3,2,/assets/ss.png
43,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,244054,33/11 KV MANERAJURI,33/11 KV,Y,,N,17.0383703,74.7008739,10,,,1,15,9,6,1,/assets/ss.png
44,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,244016,33/11 KV SAVLAJ SUBSTATION,33/11 KV,Y,,N,17.1063548,74.7712436,13.15,,,,13,8,5,1,/assets/ss.png
45,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,244089,33/11 KV WAIFALE,33/11 KV,Y,,N,17.1800317,74.7508161,5,,,,8,5,3,1,/assets/ss.png
46,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,244108,33/11 KV KOULAGE,33/11 KV,Y,,N,17.08336,74.6854,10,,,,11,6,5,1,/assets/ss.png
47,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,244125,33/11 KV ANJANI (NAGEWADI),33/11 KV,Y,,N,17.0817509,74.7952191,5,,,,7,4,3,1,/assets/ss.png
48,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,244133,33/11 KV MANJARDE STN,33/11 KV,Y,,N,17.1504593,74.695577,5,,,,11,6,5,1,/assets/ss.png
49,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,244139,33/11KV JARANDI,33/11 KV,Y,,N,17.1755204,74.8271097,5,,,,6,3,3,1,/assets/ss.png
50,SANGLI RURAL DIVISION,SAVLAJ S/DN.,4789,246014,110/33 KV SAVLAJ STN,132/33 KV,N,Karad,N,17.1066536,74.7707606,50,,,,8,1,6,0,/assets/ss.png
51,SANGLI RURAL DIVISION,TASGAON (I),1261,244020,33/11 KV KUMTHE,33/11 KV,Y,,N,16.9622395,74.6504045,10,0,,,12,7,5,2,/assets/ss.png
52,SANGLI RURAL DIVISION,TASGAON (I),1261,244056,33/11 KV BORGAON,33/11 KV,Y,,N,17.1192826,74.5648496,15,0,,,15,10,5,1,/assets/ss.png
53,SANGLI RURAL DIVISION,TASGAON (I),1261,244046,33/11 KV HATNUR,33/11 KV,Y,,N,17.1600564,74.6666809,10,0,,,14,9,5,2,/assets/ss.png
54,SANGLI RURAL DIVISION,TASGAON (I),1261,244152,33/11 KV 2X5 MVA CHINCHANI (AR,33/11 KV,Y,,N,17.071153,74.639995,10,0,4/16/2024,2,11,6,5,0,/assets/ss.png
55,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(N) S/DN.,4019,144034,33/11 KV SUGAR MILL,33/11 KV,Y,,N,16.7480922,74.2450112,10,0,,2,10,8,2,4,/assets/ss.png
56,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(N) S/DN.,4019,144035,33/11KV NAGALA S/S,33/11 KV,Y,,N,16.7096189,74.2302267,20,0,,2,11,10,1,4,/assets/ss.png
57,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(N) S/DN.,4019,144102,CIRCUIT HOUSE S/S,33/11 KV,Y,,N,16.7180735,74.2489324,20,0,,2,10,8,2,4,/assets/ss.png
58,KOLHAPUR URBAN DIVISION,KOLHAPUR U. CENTRAL,4017,144104,RAMANAND NAGAR,33/11 KV,Y,,N,16.6660899,74.2226211,20,,,2,10,7,2,5,/assets/ss.png
59,KOLHAPUR URBAN DIVISION,KOLHAPUR U. CENTRAL,4017,144033,SHENDA PARK S/STN,33/11 KV,Y,,N,16.6593836,74.1980564,20,,,2,10,10,0,6,/assets/ss.png
60,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(E) S/DN.,4016,144029,SHAHU MILL,33/11 KV,Y,,N,16.69247,74.2387,15,0,,3,9,7,2,4,/assets/ss.png
61,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(E) S/DN.,4016,144100,Y. P. POWAR NAGAR,33/11 KV,Y,,N,16.6892395,74.2367122,15,,,1,6,5,1,5,/assets/ss.png
62,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(E) S/DN.,4016,144106,33/11 KV SHIVAJI VIDYAPEETH,33/11 KV,Y,,N,16.6874974,74.251196,5,,,1,4,3,1,4,/assets/ss.png
63,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(W) S/DN.,4018,144032,33/11KV PUIKHADI SUBSTATION,33/11 KV,Y,,N,16.6595851,74.1974883,20,,,,9,7,2,3,/assets/ss.png
64,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(W) S/DN.,4018,144101,33/11 KV DUDHALI S/S,33/11 KV,Y,,N,16.6971204,74.2165525,20,,,2,10,8,2,3,/assets/ss.png
65,KOLHAPUR URBAN DIVISION,KOLHAPUR U.(W) S/DN.,4018,146017,110/33KV CHAMBUKHADI,132/33 KV,N,Kolhapur,N,16.699079,74.186738,50,,,,9,5,3,0,/assets/ss.png
66,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,146001,132/33 KV BAPAT CAMP,132/33 KV,N,Kolhapur,N,16.7150705,74.2712738,100,,,2,7,1,5,0,/assets/ss.png
67,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,146010,110/33/11KV SHIROLI S/STN,33/11 KV,N,Kolhapur,N,16.7594086,74.2729008,132,,,4,16,12,3,0,/assets/ss.png
68,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,144030,33/11KV GPI S/STN,33/11 KV,Y,,N,16.6920696,74.2667144,10,0,,2,4,4,0,4,/assets/ss.png
69,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,144103,33/11 KV GANDHINAGAR,33/11 KV,Y,,N,16.7113833,74.3000137,20,,,2,7,7,0,1,/assets/ss.png
70,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,144105,33/11 KV SHIROLI MINOR MIDC,33/11 KV,Y,,N,16.7596256,74.273323,20,,,2,7,6,1,1,/assets/ss.png
71,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,144092,33/11 KV BAPAT CAMP MINOR,33/11 KV,Y,,N,16.715345,74.270482,20,0,,2,10,9,1,1,/assets/ss.png
72,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,144093,33/11 D BLOCK,33/11 KV,Y,,N,16.7602283,74.2729228,20,,,2,8,8,0,1,/assets/ss.png
73,KOLHAPUR URBAN DIVISION,KOLHAPUR U.MARKET Y.,4021,144121,33/11 KV G-BLOCK,33/11 KV,Y,,N,16.7547693,74.2661464,20,,,2,7,6,1,0,/assets/ss.png
74,GADHINGLAJ DIVISION,NESARI,1139,144057,33/11 KV HALKARNI,33/11 KV,Y,,N,16.1679057,74.4770795,10,715,07-09-2019,2,9,7,2,3,/assets/ss.png
75,GADHINGLAJ DIVISION,NESARI,1139,144058,33/11 KV NESARI,33/11 KV,Y,,N,16.0537885,74.3204002,10,,,2,7,6,1,3,/assets/ss.png
76,GADHINGLAJ DIVISION,NESARI,1139,144068,33/11 KV MAHAGAON,33/11 KV,Y,,N,16.1396156,74.3302974,10,,,2,8,6,2,2,/assets/ss.png
77,GADHINGLAJ DIVISION,NESARI,1139,144112,33/11 KV NANGNUR,33/11 KV,Y,,N,16.2268841,74.4937855,5,,,1,4,3,1,1,/assets/ss.png
78,GADHINGLAJ DIVISION,AJARA,1155,146006,220KV GADHINGLAJ(MUMEWADI),220/33 KV,N,Kolhapur,N,16.2570979,74.2831468,150,,,3,14,3,10,0,/assets/ss.png
79,GADHINGLAJ DIVISION,AJARA,1155,144063,33/11 KV AJARA,33/11 KV,Y,,N,16.1168986,74.2055795,10,,,2,10,8,2,3,/assets/ss.png
80,GADHINGLAJ DIVISION,AJARA,1155,144087,33/11 MALIGRE,33/11 KV,Y,,N,16.1186385,74.2902284,5,,,1,4,3,1,2,/assets/ss.png
81,GADHINGLAJ DIVISION,AJARA,1155,144084,33/11 KV UTTUR,33/11 KV,Y,,N,16.2574946,74.2830464,10,,,2,6,5,1,1,/assets/ss.png
82,GADHINGLAJ DIVISION,AJARA,1155,144107,33/11 KV GAVASE,33/11 KV,Y,,N,16.1201808,74.1480729,5,,,1,8,6,2,4,/assets/ss.png
83,GADHINGLAJ DIVISION,AJARA,1155,144143,33/11KV MASEWADI,33/11 KV,Y,,N,16.1933215,74.2511198,5,0,,,4,3,1,0,/assets/ss.png
84,GADHINGLAJ DIVISION,GADHINGLAJ,1121,144069,33/11 KV KAULAGE,33/11 KV,Y,,N,16.1903107,74.2921548,10,,,2,6,5,1,2,/assets/ss.png
85,GADHINGLAJ DIVISION,GADHINGLAJ,1121,144056,33/11 KV GADHINGLAJ,33/11 KV,Y,,N,16.2280659,74.3423665,15,0,,2,9,7,2,2,/assets/ss.png
86,GADHINGLAJ DIVISION,GADHINGLAJ,1121,144075,33/11 KV MIDC SUB-STATION,33/11 KV,Y,,N,16.2667045,74.3518806,5,,,1,6,4,2,1,/assets/ss.png
87,GADHINGLAJ DIVISION,GADHINGLAJ,1121,144096,33/11KV HEBBAL (K NOOL),33/11 KV,Y,,N,16.250757,74.408863,10,0,,2,7,6,1,1,/assets/ss.png
88,GADHINGLAJ DIVISION,GADHINGLAJ,1121,144089,33/11KV BHADGAON S/STN,33/11 KV,Y,,N,16.1981002,74.3753661,10,,,2,7,6,1,2,/assets/ss.png
89,GADHINGLAJ DIVISION,GADHINGLAJ,1121,144140,33/11KV SHIPPUR TARF AJARA,33/11 KV,Y,,N,16.2213315,74.2859995,5,0,,1,4,3,1,0,/assets/ss.png
90,GADHINGLAJ DIVISION,CHANDGAD,1147,144059,33/11 KOWAD,33/11 kV,Y,,N,16.0027503,74.3771643,15,,,3,14,12,2,1,/assets/ss.png
91,GADHINGLAJ DIVISION,CHANDGAD,1147,144061,33/11 KV CHANDGAD,33/11 KV,Y,,N,15.9458107,74.1961795,10,,,2,9,8,1,2,/assets/ss.png
92,GADHINGLAJ DIVISION,CHANDGAD,1147,144080,33/11 KV KANOOR SUB STATION,33/11 KV,Y,,N,15.9738625,74.1280998,5,,,1,5,4,1,2,/assets/ss.png
93,GADHINGLAJ DIVISION,CHANDGAD,1147,144071,33/11 KV ADKUR,33/11 KV,Y,,N,16.0040895,74.271642,10,,,2,6,5,1,2,/assets/ss.png
94,GADHINGLAJ DIVISION,CHANDGAD,1147,148016,220 KV HALKARNI SUBSTATION,220/33 KV,N,Kolhapur,N,15.9075574,74.3084095,75,,,,11,3,7,0,/assets/ss.png
95,GADHINGLAJ DIVISION,CHANDGAD,1147,144062,33/11 KV SHINOLI S/STN,33/11 KV,Y,,N,15.874066,74.3900522,15,,,3,7,6,1,2,/assets/ss.png
96,GADHINGLAJ DIVISION,CHANDGAD,1147,144060,33/11 KV HALKARNI,33/11 KV,Y,,N,15.912276,74.2970797,15,,,2,10,9,1,1,/assets/ss.png
97,GADHINGLAJ DIVISION,CHANDGAD,1147,144099,33 /11 KV PARLE SUBSTATION,33/11 KV,Y,,N,15.8429194,74.2023642,5,,,1,4,3,1,1,/assets/ss.png
98,GADHINGLAJ DIVISION,CHANDGAD,1147,144098,33/11 KV HALKARNI MIDC,33/11 KV,Y,,N,15.884546,74.2932773,10,,,2,7,6,1,1,/assets/ss.png
99,GADHINGLAJ DIVISION,CHANDGAD,1147,144117,33/11 KV MANGAON,33/11 KV,Y,,N,15.9554223,74.3334002,5,,,1,5,4,1,1,/assets/ss.png
100,GADHINGLAJ DIVISION,CHANDGAD,1147,144120,33/11 KV TUDIYE,33/11 KV,Y,,N,15.7969946,74.3515518,5,,,1,5,4,1,2,/assets/ss.png
101,GADHINGLAJ DIVISION,CHANDGAD,1147,144134,33/11 KV RAJGOLI SUBSTATION,33/11 KV,Y,,N,16.02685,74.42983,5,0,,1,5,4,1,0,/assets/ss.png
102,GADHINGLAJ DIVISION,CHANDGAD,1147,144141,33/11 KV NAGARDALE(KAREKUNDI)S,33/11 KV,Y,,N,15.9437019,74.3750256,5,0,,1,4,3,1,0,/assets/ss.png
103,JAYASINGPUR DIVISION,VADGAON,1198,144125,33/11 KV TOP SUB STATION,33/11 kV,Y,,N,16.7937221,74.2937831,20,,,2,7,5,2,1,/assets/ss.png
104,JAYASINGPUR DIVISION,VADGAON,1198,144129,VADGAON SUB STATION,33/11 kV,Y,,N,16.8195951,74.2902642,20,,,2,6,6,0,1,/assets/ss.png
105,JAYASINGPUR DIVISION,VADGAON,1198,144147,KOLHAPUR UDYAM COOP,33/11 kV,Y,,N,16.8096033,74.2755433,20,,,2,3,3,0,0,/assets/ss.png
106,JAYASINGPUR DIVISION,VADGAON,1198,146008,110/33/11KV K.WATHAR S/STN.,33/11 KV,N,Kolhapur,N,16.8489583,74.286475,166,2,12/18/2024,5,23,18,4,0,/assets/ss.png
107,JAYASINGPUR DIVISION,VADGAON,1198,144046,33/11 KV SAWARDE S/STN,33/11 kV,Y,,N,16.8194555,74.3561818,20,7,06-06-2025,4,14,12,2,1,/assets/ss.png
108,JAYASINGPUR DIVISION,VADGAON,1198,144081,33/11KV LATWADE SUB STATION,33/11 KV,Y,,N,16.8417698,74.3395002,10,,,1,6,6,0,1,/assets/ss.png
